zVr -22 -20 -18 -16 -14 -12 -10 -8 -6 -4 -2 0 2 4 6 8 10 12 14 16 18 20 22
33 -0.000042 -0.0000386 -0.0000366 -0.0000348 -0.0000339 -0.0000325 -0.000032 -0.0000315 -0.0000311 -0.0000311 -0.0000288 -0.0000293 -0.000029 -0.0000311 -0.0000311 -0.0000319 -0.0000321 -0.0000335 -0.0000346 -0.0000359 -0.000038 -0.0000408 -0.0000451
31 -0.0000423 -0.0000397 -0.0000361 -0.000035 -0.0000341 -0.0000331 -0.0000327 -0.0000321 -0.0000316 -0.0000314 -0.0000296 -0.0000295 -0.00003 -0.0000322 -0.0000323 -0.0000325 -0.0000333 -0.0000339 -0.0000348 -0.0000366 -0.0000383 -0.0000407 -0.0000436
29 -0.0000403 -0.0000382 -0.0000367 -0.0000354 -0.0000346 -0.0000338 -0.0000336 -0.0000332 -0.0000329 -0.0000331 -0.0000319 -0.0000308 -0.000031 -0.0000327 -0.0000329 -0.0000333 -0.0000339 -0.0000347 -0.0000351 -0.0000363 -0.0000376 -0.0000391 -0.000041
27 -0.0000382 -0.0000371 -0.000036 -0.0000355 -0.0000349 -0.0000345 -0.000034 -0.0000337 -0.0000336 -0.0000337 -0.0000329 -0.0000313 -0.0000314 -0.0000335 -0.0000337 -0.0000339 -0.0000339 -0.0000343 -0.0000348 -0.0000354 -0.000036 -0.0000367 -0.0000373
25 -0.000036 -0.0000358 -0.0000354 -0.0000351 -0.0000343 -0.0000341 -0.0000339 -0.0000338 -0.0000336 -0.0000336 -0.0000334 -0.0000314 -0.0000317 -0.0000335 -0.0000337 -0.0000339 -0.0000338 -0.0000341 -0.0000346 -0.0000349 -0.0000353 -0.0000351 -0.0000344
23 -0.0000332 -0.0000336 -0.000034 -0.0000339 -0.000034 -0.0000339 -0.0000339 -0.0000347 -0.0000337 -0.0000335 -0.0000336 -0.0000319 -0.000032 -0.0000344 -0.000034 -0.0000347 -0.0000351 -0.0000349 -0.0000346 -0.0000343 -0.0000337 -0.0000324 -0.000031
21 -0.0000317 -0.0000329 -0.0000333 -0.0000337 -0.0000339 -0.0000338 -0.000034 -0.000034 -0.000034 -0.000034 -0.000034 -0.0000321 -0.000032 -0.0000332 -0.0000336 -0.0000338 -0.0000333 -0.0000331 -0.0000331 -0.0000332 -0.0000321 -0.0000311 -0.0000297
19 -0.0000308 -0.000032 -0.0000327 -0.0000334 -0.0000337 -0.0000336 -0.0000342 -0.0000343 -0.0000345 -0.0000341 -0.0000338 -0.0000321 -0.0000321 -0.0000339 -0.0000339 -0.0000335 -0.0000336 -0.0000331 -0.0000332 -0.0000326 -0.0000316 -0.0000306 -0.0000286
17 -0.0000303 -0.0000315 -0.0000324 -0.0000326 -0.0000331 -0.0000333 -0.0000336 -0.0000337 -0.0000335 -0.0000337 -0.0000337 -0.0000322 -0.0000323 -0.0000341 -0.0000338 -0.0000338 -0.0000336 -0.0000336 -0.0000333 -0.000032 -0.0000311 -0.0000301 -0.0000284
15 -0.0000297 -0.0000313 -0.0000322 -0.0000328 -0.0000328 -0.0000334 -0.0000334 -0.0000332 -0.0000334 -0.0000334 -0.0000337 -0.0000322 -0.0000331 -0.0000336 -0.0000334 -0.0000333 -0.0000329 -0.0000327 -0.0000324 -0.0000317 -0.0000311 -0.0000313 -0.0000293
13 -0.0000304 -0.0000314 -0.0000321 -0.0000324 -0.000033 -0.0000331 -0.0000334 -0.0000331 -0.0000335 -0.0000335 -0.0000339 -0.0000321 -0.0000322 -0.0000339 -0.000034 -0.0000339 -0.000034 -0.0000341 -0.0000336 -0.0000335 -0.0000331 -0.0000323 -0.000031
11 -0.0000319 -0.0000329 -0.0000333 -0.0000337 -0.0000331 -0.0000333 -0.0000336 -0.0000336 -0.0000338 -0.0000335 -0.000034 -0.0000322 -0.0000324 -0.0000334 -0.0000334 -0.0000334 -0.0000335 -0.0000345 -0.0000345 -0.0000343 -0.0000341 -0.0000337 -0.0000321
9 -0.0000338 -0.0000341 -0.0000339 -0.0000338 -0.0000339 -0.0000337 -0.0000337 -0.0000334 -0.0000331 -0.0000333 -0.0000338 -0.0000322 -0.0000326 -0.0000333 -0.0000336 -0.0000338 -0.0000339 -0.0000342 -0.0000345 -0.0000348 -0.0000353 -0.0000358 -0.0000359
7 -0.0000361 -0.0000359 -0.000035 -0.0000346 -0.0000342 -0.0000342 -0.0000339 -0.0000338 -0.0000335 -0.0000334 -0.000034 -0.000032 -0.0000323 -0.0000327 -0.0000337 -0.0000347 -0.0000353 -0.0000364 -0.0000367 -0.0000373 -0.0000381 -0.0000391 -0.0000396
5 -0.0000393 -0.0000375 -0.0000369 -0.0000376 -0.0000367 -0.0000364 -0.0000363 -0.0000356 -0.0000355 -0.0000351 -0.0000339 -0.000032 -0.0000324 -0.0000333 -0.0000338 -0.0000343 -0.0000349 -0.0000356 -0.0000363 -0.0000376 -0.0000387 -0.0000406 -0.0000428
3 -0.0000439 -0.000042 -0.0000404 -0.0000389 -0.0000369 -0.0000363 -0.0000365 -0.0000367 -0.0000365 -0.0000363 -0.0000344 -0.0000316 -0.0000331 -0.0000359 -0.0000358 -0.0000361 -0.0000366 -0.0000371 -0.0000376 -0.0000388 -0.000041 -0.0000434 -0.0000469
