X Y Xerr Yerr
2.6099e-03 1.2821 6.8118e-06 1.6437e-02 
2.6236e-03 1.2346 6.8835e-06 1.5242e-02
2.6375e-03 1.1628 6.9563e-06 1.3521e-02
2.6515e-03 1.1236 7.0303e-06 1.2625e-02
2.6656e-03 1.0638 7.1054e-06 1.1317e-02
2.6799e-03 1.0204 7.1818e-06 1.0412e-02
2.6943e-03 0.9615 7.2594e-06 9.2456e-03
2.7089e-03 0.9346 7.3383e-06 8.7344e-03
2.7237e-03 0.8929 7.4184e-06 7.9719e-03
2.7386e-03 0.8403 7.4999e-06 7.0616e-03
2.7537e-03 0.8264 7.5828e-06 6.8301e-03
2.7689e-03 0.7874 7.6670e-06 6.2000e-03
2.7844e-03 0.7576 7.7526e-06 5.7392e-03
2.7999e-03 0.7299 7.8397e-06 5.3279e-03
2.8157e-03 0.7092 7.9282e-06 5.0299e-03
2.8317e-03 0.6897 8.0183e-06 4.7562e-03
2.8478e-03 0.6711 8.1099e-06 4.5043e-03
2.8641e-03 0.6536 8.2031e-06 4.2719e-03
2.8806e-03 0.6410 8.2979e-06 4.1091e-03
2.8973e-03 0.6289 8.3943e-06 3.9555e-03
2.9142e-03 0.6173 8.4924e-06 3.8104e-03
2.9313e-03 0.6061 8.5923e-06 3.6731e-03
2.9485e-03 0.5988 8.6939e-06 3.5856e-03
2.9660e-03 0.5928 8.7974e-06 3.5137e-03
2.9837e-03 0.5893 8.9027e-06 3.4725e-03
3.0017e-03 0.5862 9.0099e-06 3.4359e-03
3.0198e-03 0.5834 9.1191e-06 3.4039e-03
3.0381e-03 0.5828 9.2302e-06 3.3960e-03
3.0945e-03 0.5855 9.5762e-06 3.4279e-03
3.1934e-03 0.6017 1.0198e-05 3.6202e-03
3.2452e-03 0.6135 1.0531e-05 3.7638e-03
