X Y Xerr Yerr
2.6099e-03 2.4846e-01 6.8118e-06 1.2821e-02 
2.6236e-03 2.1072e-01 6.8835e-06 1.2346e-02
2.6375e-03 1.5082e-01 6.9563e-06 1.1628e-02
2.6515e-03 1.1653e-01 7.0303e-06 1.1236e-02
2.6656e-03 6.1875e-02 7.1054e-06 1.0638e-02
2.6799e-03 2.0203e-02 7.1818e-06 1.0204e-02
2.6943e-03 -3.9221e-02 7.2594e-06 9.6154e-03
2.7089e-03 -6.7659e-02 7.3383e-06 9.3458e-03
2.7237e-03 -1.1333e-01 7.4184e-06 8.9286e-03
2.7386e-03 -1.7395e-01 7.4999e-06 8.4034e-03
2.7537e-03 -1.9062e-01 7.5828e-06 8.2645e-03
2.7689e-03 -2.3902e-01 7.6670e-06 7.8740e-03
2.7844e-03 -2.7763e-01 7.7526e-06 7.5758e-03
2.7999e-03 -3.1481e-01 7.8397e-06 7.2993e-03
2.8157e-03 -3.4359e-01 7.9282e-06 7.0922e-03
2.8317e-03 -3.7156e-01 8.0183e-06 6.8966e-03
2.8478e-03 -3.9878e-01 8.1099e-06 6.7114e-03
2.8641e-03 -4.2527e-01 8.2031e-06 6.5359e-03
