X invTempErr Y lnInvVoltErr
2.65E-03 7.03e-06 -1.4842e-01 8.6207e-03
2.67E-03 7.11e-06 -1.9885e-01 8.1967e-03
2.68E-03 7.18e-06 -2.4686e-01 7.8125e-03
2.69E-03 7.26e-06 -3.0010e-01 7.4074e-03
2.71E-03 7.34e-06 -3.3647e-01 7.1429e-03
2.72E-03 7.42e-06 -3.8526e-01 6.8027e-03
2.74E-03 7.50e-06 -4.2527e-01 6.5359e-03
2.75E-03 7.58e-06 -4.7000e-01 6.2500e-03
2.77E-03 7.67e-06 -5.0078e-01 6.0606e-03
2.78E-03 7.75e-06 -5.3649e-01 5.8480e-03
2.80E-03 7.84e-06 -5.7098e-01 5.6497e-03
2.83E-03 8.02e-06 -5.9333e-01 5.5249e-03
