X Y Xerr Yerr
2.6099e-03 6.6225e-03 6.8118e-06 4.3858e-05
2.6236e-03 6.4103e-03 6.8835e-06 4.1091e-05
2.6375e-03 5.9880e-03 6.9563e-06 3.5856e-05
2.6515e-03 5.6180e-03 7.0303e-06 3.1562e-05
2.6656e-03 5.3476e-03 7.1054e-06 2.8597e-05
2.6799e-03 5.0505e-03 7.1818e-06 2.5508e-05
2.6943e-03 4.6948e-03 7.2594e-06 2.2041e-05
2.7089e-03 4.4444e-03 7.3383e-06 1.9753e-05
2.7237e-03 4.1841e-03 7.4184e-06 1.7507e-05
2.7386e-03 3.9063e-03 7.4999e-06 1.5259e-05
2.7537e-03 3.6630e-03 7.5828e-06 1.3418e-05
2.7689e-03 3.3898e-03 7.6670e-06 1.1491e-05
2.7844e-03 3.2051e-03 7.7526e-06 1.0273e-05
2.7999e-03 2.9940e-03 7.8397e-06 8.9641e-06
2.8157e-03 2.8169e-03 7.9282e-06 7.9349e-06
2.8317e-03 2.6178e-03 8.0183e-06 6.8529e-06
2.8723e-03 2.2272e-03 8.2503e-06 4.9603e-06
2.9142e-03 1.8382e-03 8.4924e-06 3.3791e-06
2.9573e-03 1.5198e-03 8.7454e-06 2.3097e-06
3.0017e-03 1.2626e-03 9.0099e-06 1.5942e-06
3.0474e-03 1.0661e-03 9.2866e-06 1.1366e-06
3.0945e-03 8.7032e-04 9.5762e-06 7.5746e-07
