Temperature[degC]       Sample Voltage[mV]	Error	1/T	Conductivity[mmho]	
90    -12   2    0.011    -2.08
88    -9    2    0.011    -2.78
86    -5.5  2    0.012    -4.55
84    -2.5  2    0.012    -10.00
82    0.3   2    0.012    83.33
80    4    2    0.013    6.25
78    8    2    0.013    3.13
76    12    2    0.013    2.08
74    15.5    2    0.014    1.61
72    20.5    2    0.014    1.22
70    24.5    2    0.014    1.02
68    29    1    0.015    0.86
66    35    1    0.015    0.71
64    40.5    1    0.016    0.62
62    46.5    1    0.016    0.54
60    52    1    0.017    0.48
58    59.5    1    0.017    0.42
56    67    1    0.018    0.37
54    75    1    0.019    0.33
52    85    1    0.019    0.29
50    93    1    0.020    0.27
48    105    1    0.021    0.24
46    114    1    0.022    0.22
44    127    1    0.023    0.20
42    140    1    0.024    0.18
40    155    1    0.025    0.16
