Bx(mT) 	  Vy(mV) xErr(mT) yErr(mV)
80.5	  0.001	 0.1      0.001
100.2	  0	 0.1      0.001
120.7	  0.001	 0.1      0.001
140.3	  0.002	 0.1      0.001
160.5	  0.002	 0.1      0.001
180.3	  0.003	 0.1      0.001
204.9	  0.004	 0.1      0.001
220	  0.004	 0.1      0.001
240.6	  0.005	 0.1      0.001
259.3	  0.005	 0.1      0.001
279.6	  0.004	 0.1      0.001
301.2	  0.005	 0.1      0.001
319.5	  0.005	 0.1      0.001
339.8	  0.006	 0.1      0.001
359.8	  0.007	 0.1      0.001
379.7	  0.007	 0.1      0.001
397.6	  0.008	 0.1      0.001
