Freq,CorrFreq,FreqError,Voltage,VError,Resistance,ResError,Current,MagneticField,gFactor
3.00E+04,3.00E+07,1.00E+01,0.44,0.08,1.7,0.1,0.259,1.03E-03,2.07279
3.00E+04,3.00E+07,1.00E+01,0.6,0.08,1.7,0.1,0.353,1.41E-03,1.52005
3.00E+04,3.00E+07,1.00E+01,0.56,0.08,1.7,0.1,0.329,1.32E-03,1.62862
3.00E+04,3.00E+07,1.00E+01,0.5,0.08,1.7,0.1,0.294,1.18E-03,1.82406
2.50E+04,2.50E+07,1.00E+01,0.4,0.1,1.8,0.1,0.222,8.88E-04,2.01225
2.50E+04,2.50E+07,1.00E+01,0.44,0.1,1.8,0.1,0.244,9.77E-04,1.82932
2.50E+04,2.50E+07,1.00E+01,0.4,0.1,1.8,0.1,0.222,8.88E-04,2.01225
2.50E+04,2.50E+07,1.00E+01,0.5,0.1,1.8,0.1,0.278,1.11E-03,1.60980
2.00E+04,2.00E+07,1.00E+01,0.2,0.04,1.9,0.1,0.105,4.21E-04,3.40194
2.00E+04,2.00E+07,1.00E+01,0.4,0.04,1.9,0.1,0.211,8.41E-04,1.70097
2.00E+04,2.00E+07,1.00E+01,0.36,0.04,1.9,0.1,0.189,7.57E-04,1.88997
2.00E+04,2.00E+07,1.00E+01,0.4,0.04,1.9,0.1,0.211,8.41E-04,1.70097
1.50E+04,1.50E+07,1.00E+01,0.04,0.01,2.1,0.1,0.019,7.61E-05,14.05368
1.50E+04,1.50E+07,1.00E+01,0.48,0.08,2.1,0.1,0.229,9.13E-04,1.17114
1.50E+04,1.50E+07,1.00E+01,0.4,0.04,2.1,0.1,0.190,7.61E-04,1.40537
1.50E+04,1.50E+07,1.00E+01,0.12,0.04,2.1,0.1,0.057,2.28E-04,4.68456
