Freq CorrFreq FreqError Voltage VError Resistance ResError Current MagneticField gFactor CurrErr gFactorErr
3.00E+04 3.00E+07 1.00E+01 0.44 0.08 1.7 0.1 0.259 1.03E-03 2.07279  4.9460e-02 3.6850e-01  
3.00E+04 3.00E+07 1.00E+01 0.6 0.08 1.7 0.1 0.353 1.41E-03 1.52005   5.1435e-02 2.0608e-01
3.00E+04 3.00E+07 1.00E+01 0.56 0.08 1.7 0.1 0.329 1.32E-03 1.62862  5.0892e-02 2.3408e-01
3.00E+04 3.00E+07 1.00E+01 0.5 0.08 1.7 0.1 0.294 1.18E-03 1.82406   5.0138e-02 2.8928e-01
2.50E+04 2.50E+07 1.00E+01 0.4 0.1 1.8 0.1 0.222 8.88E-04 2.01225    5.6911e-02 4.7932e-01
2.50E+04 2.50E+07 1.00E+01 0.44 0.1 1.8 0.1 0.244 9.77E-04 1.82932   5.7191e-02 3.9808e-01
2.50E+04 2.50E+07 1.00E+01 0.4 0.1 1.8 0.1 0.222 8.88E-04 2.01225    5.6911e-02 4.7932e-01
2.50E+04 2.50E+07 1.00E+01 0.5 0.1 1.8 0.1 0.278 1.11E-03 1.60980    5.7659e-02 3.1080e-01
2.00E+04 2.00E+07 1.00E+01 0.2 0.04 1.9 0.1 0.105 4.21E-04 3.40194   2.1769e-02 6.5371e-01
2.00E+04 2.00E+07 1.00E+01 0.4 0.04 1.9 0.1 0.211 8.41E-04 1.70097   2.3790e-02 1.7860e-01
2.00E+04 2.00E+07 1.00E+01 0.36 0.04 1.9 0.1 0.189 7.57E-04 1.88997  2.3295e-02 2.1590e-01
2.00E+04 2.00E+07 1.00E+01 0.4 0.04 1.9 0.1 0.211 8.41E-04 1.70097   2.3790e-02 1.7860e-01
1.50E+04 1.50E+07 1.00E+01 0.04 0.01 2.1 0.1 0.019 7.61E-05 14.05368 4.8475e-03 3.3342e+00
1.50E+04 1.50E+07 1.00E+01 0.48 0.08 2.1 0.1 0.229 9.13E-04 1.17114  3.9620e-02 1.8924e-01
1.50E+04 1.50E+07 1.00E+01 0.4 0.04 2.1 0.1 0.190 7.61E-04 1.40537   2.1097e-02 1.4511e-01
1.50E+04 1.50E+07 1.00E+01 0.12 0.04 2.1 0.1 0.057 2.28E-04 4.68456  1.9241e-02 1.4705e+00
