VppMeas CounterFreq Amplitude AdjustedFreq VError FreqError
0.1 35263 0.05 3.53E+07 0.02 10
1.05 40021 0.525 4.00E+07 0.02 10
0.792 45334 0.396 4.53E+07 0.02 10
0.31 50056 0.155 5.01E+07 0.02 10
0.5 35913 0.25 3.59E+07 0.02 10
0.6 37295 0.3 3.73E+07 0.02 10
0.72 38153 0.36 3.82E+07 0.02 10
0.92 39175 0.46 3.92E+07 0.02 10
1.3 40173 0.65 4.02E+07 0.02 10
1.78 40980 0.89 4.10E+07 0.02 10
1.96 41594 0.98 4.16E+07 0.02 10
1.5 43147 0.75 4.31E+07 0.02 10
1.7 44123 0.85 4.41E+07 0.02 10
1.16 45040 0.58 4.50E+07 0.02 10
0.88 46006 0.44 4.60E+07 0.01 10
0.68 47135 0.34 4.71E+07 0.01 10
0.58 47945 0.29 4.79E+07 0.01 10
0.49 49071 0.245 4.91E+07 0.01 10
1.9 41240 0.95 4.12E+07 0.01 10
1.98 41769 0.99 4.18E+07 0.01 10
1.43 43206 0.715 4.32E+07 0.01 10
2.02 41800 1.01 4.18E+07 0.01 200.00
2 41900 1 4.19E+07 0.02 100
1.88 42310 0.94 4.23E+07 0.04 10
1.28 43370 0.64 4.34E+07 0.01 10
1.36 43337 0.68 4.33E+07 0.01 10
1.7 43535 0.85 4.35E+07 0.02 10
