Freq CorrFreq FreqError Voltage VError Resistance ResError Current MagneticField gFactor
4.25E+04 4.25E+07 1.00E+00 0.9 0.1 1.5 0.1 0.600 2.40E-03 1.26512
4.44E+04 4.44E+07 1.00E+00 0.8 0.1 1.2 0.1 0.667 2.66E-03 1.19023
4.44E+04 4.44E+07 1.00E+00 0.82 0.1 1.2 0.1 0.683 2.73E-03 1.16120
4.44E+04 4.44E+07 1.00E+00 0.82 0.1 1.2 0.1 0.683 2.73E-03 1.16120
4.44E+04 4.44E+07 1.00E+00 0.8 0.1 1.2 0.1 0.667 2.66E-03 1.19023
4.50E+04 4.50E+07 1.00E+00 0.96 0.04 1.2 0.1 0.800 3.20E-03 1.00547
4.50E+04 4.50E+07 1.00E+00 0.92 0.04 1.2 0.1 0.767 3.06E-03 1.04918
4.50E+04 4.50E+07 1.00E+00 0.8 0.04 1.2 0.1 0.667 2.66E-03 1.20656
4.50E+04 4.50E+07 1.00E+00 0.76 0.04 1.2 0.1 0.633 2.53E-03 1.27006
4.59E+04 4.59E+07 1.00E+01 0.96 0.04 1.4 0.1 0.686 2.74E-03 1.19693
4.59E+04 4.59E+07 1.00E+01 0.94 0.04 1.4 0.1 0.671 2.68E-03 1.22239
4.59E+04 4.59E+07 1.00E+01 0.8 0.04 1.4 0.1 0.571 2.28E-03 1.43631
4.59E+04 4.59E+07 1.00E+01 0.84 0.04 1.4 0.1 0.600 2.40E-03 1.36792
4.71E+04 4.71E+07 1.00E+01 0.96 0.04 1.3 0.1 0.738 2.95E-03 1.14140
4.71E+04 4.71E+07 1.00E+01 1 0.04 1.3 0.1 0.769 3.07E-03 1.09575
4.71E+04 4.71E+07 1.00E+01 0.82 0.04 1.3 0.1 0.631 2.52E-03 1.33628
4.71E+04 4.71E+07 1.00E+01 0.84 0.04 1.3 0.1 0.646 2.58E-03 1.30446
4.80E+04 4.80E+07 1.00E+01 0.84 0.04 1.3 0.1 0.646 2.58E-03 1.32925
4.80E+04 4.80E+07 1.00E+01 0.82 0.04 1.3 0.1 0.631 2.52E-03 1.36167
4.80E+04 4.80E+07 1.00E+01 1 0.04 1.3 0.1 0.769 3.07E-03 1.11657
4.80E+04 4.80E+07 1.00E+01 1 0.04 1.3 0.1 0.769 3.07E-03 1.11657
4.90E+04 4.90E+07 1.00E+01 1 0.04 1.3 0.1 0.769 3.07E-03 1.13888
4.90E+04 4.90E+07 1.00E+01 1 0.04 1.3 0.1 0.769 3.07E-03 1.13888
4.90E+04 4.90E+07 1.00E+01 0.9 0.04 1.3 0.1 0.692 2.77E-03 1.26543
4.90E+04 4.90E+07 1.00E+01 0.86 0.04 1.3 0.1 0.662 2.64E-03 1.32428
5.02E+04 5.02E+07 1.00E+01 0.9 0.04 1.2 0.1 0.750 3.00E-03 1.19578
5.02E+04 5.02E+07 1.00E+01 0.88 0.04 1.2 0.1 0.733 2.93E-03 1.22296
5.02E+04 5.02E+07 1.00E+01 1 0.04 1.2 0.1 0.833 3.33E-03 1.07621
5.02E+04 5.02E+07 1.00E+01 1 0.04 1.2 0.1 0.833 3.33E-03 1.07621
5.10E+04 5.10E+07 1.00E+01 0.95 0.1 1.3 0.1 0.731 2.92E-03 1.24827
5.10E+04 5.10E+07 1.00E+01 1 0.1 1.3 0.1 0.769 3.07E-03 1.18585
5.52E+04 5.52E+07 1.00E+01 1 0.1 1.4 0.1 0.714 2.85E-03 1.38045
5.52E+04 5.52E+07 1.00E+01 0.96 0.1 1.4 0.1 0.686 2.74E-03 1.43796
6.00E+04 6.00E+07 1.00E+01 0.96 0.04 1.3 0.1 0.738 2.95E-03 1.45318
6.00E+04 6.00E+07 1.00E+01 0.94 0.04 1.3 0.1 0.723 2.89E-03 1.48410
6.51E+04 6.51E+07 1.00E+01 0.9 0.04 1.3 0.1 0.692 2.77E-03 1.68065
3.99E+04 3.99E+07 1.00E+01 0.74 0.04 1.3 0.1 0.569 2.27E-03 1.25382
3.99E+04 3.99E+07 1.00E+01 0.68 0.04 1.3 0.1 0.523 2.09E-03 1.36445
3.99E+04 3.99E+07 1.00E+01 0.84 0.04 1.3 0.1 0.646 2.58E-03 1.10456
3.99E+04 3.99E+07 1.00E+01 0.82 0.04 1.3 0.1 0.631 2.52E-03 1.13150
3.50E+04 3.50E+07 1.00E+01 0.6 0.04 1.3 0.1 0.462 1.84E-03 1.35735
3.50E+04 3.50E+07 1.00E+01 0.6 0.04 1.3 0.1 0.462 1.84E-03 1.35735
3.50E+04 3.50E+07 1.00E+01 0.76 0.04 1.3 0.1 0.585 2.34E-03 1.07159
3.50E+04 3.50E+07 1.00E+01 0.68 0.04 1.3 0.1 0.523 2.09E-03 1.19766
2.99E+04 2.99E+07 1.00E+01 0.6 0.04 1.4 0.1 0.429 1.71E-03 1.24822
2.99E+04 2.99E+07 1.00E+01 0.52 0.04 1.4 0.1 0.371 1.48E-03 1.44025
2.99E+04 2.99E+07 1.00E+01 0.6 0.04 1.4 0.1 0.429 1.71E-03 1.24822
2.99E+04 2.99E+07 1.00E+01 0.6 0.04 1.4 0.1 0.429 1.71E-03 1.24822
