Freq,CorrFreq,FreqError,Voltage,VError,Resistance,ResError,Current,MagneticField,gFactor
4.25E+04,4.25E+07,1.00E+03,0.9,0.1,1.5,0.1,0.600,2.58E-03,1.17726
4.44E+04,4.44E+07,1.00E+03,0.8,0.1,1.2,0.1,0.667,2.86E-03,1.10757
4.44E+04,4.44E+07,1.00E+03,0.82,0.1,1.2,0.1,0.683,2.93E-03,1.08056
4.44E+04,4.44E+07,1.00E+03,0.82,0.1,1.2,0.1,0.683,2.93E-03,1.08056
4.44E+04,4.44E+07,1.00E+03,0.8,0.1,1.2,0.1,0.667,2.86E-03,1.10757
4.50E+04,4.50E+07,1.00E+03,0.96,0.04,1.2,0.1,0.800,3.44E-03,0.93564
4.50E+04,4.50E+07,1.00E+03,0.92,0.04,1.2,0.1,0.767,3.29E-03,0.97632
4.50E+04,4.50E+07,1.00E+03,0.8,0.04,1.2,0.1,0.667,2.86E-03,1.12277
4.50E+04,4.50E+07,1.00E+03,0.76,0.04,1.2,0.1,0.633,2.72E-03,1.18186
4.59E+04,4.59E+07,1.00E+03,0.96,0.04,1.4,0.1,0.686,2.94E-03,1.11381
4.59E+04,4.59E+07,1.00E+03,0.94,0.04,1.4,0.1,0.671,2.88E-03,1.13750
4.59E+04,4.59E+07,1.00E+03,0.8,0.04,1.4,0.1,0.571,2.45E-03,1.33657
4.59E+04,4.59E+07,1.00E+03,0.84,0.04,1.4,0.1,0.600,2.58E-03,1.27292
4.71E+04,4.71E+07,1.00E+03,0.96,0.04,1.3,0.1,0.738,3.17E-03,1.06214
4.71E+04,4.71E+07,1.00E+03,1,0.04,1.3,0.1,0.769,3.30E-03,1.01965
4.71E+04,4.71E+07,1.00E+03,0.82,0.04,1.3,0.1,0.631,2.71E-03,1.24348
4.71E+04,4.71E+07,1.00E+03,0.84,0.04,1.3,0.1,0.646,2.77E-03,1.21387
4.80E+04,4.80E+07,1.00E+03,0.84,0.04,1.3,0.1,0.646,2.77E-03,1.23694
4.80E+04,4.80E+07,1.00E+03,0.82,0.04,1.3,0.1,0.631,2.71E-03,1.26711
4.80E+04,4.80E+07,1.00E+03,1,0.04,1.3,0.1,0.769,3.30E-03,1.03903
4.80E+04,4.80E+07,1.00E+03,1,0.04,1.3,0.1,0.769,3.30E-03,1.03903
4.90E+04,4.90E+07,1.00E+03,1,0.04,1.3,0.1,0.769,3.30E-03,1.05979
4.90E+04,4.90E+07,1.00E+03,1,0.04,1.3,0.1,0.769,3.30E-03,1.05979
4.90E+04,4.90E+07,1.00E+03,0.9,0.04,1.3,0.1,0.692,2.97E-03,1.17755
4.90E+04,4.90E+07,1.00E+03,0.86,0.04,1.3,0.1,0.662,2.84E-03,1.23232
5.02E+04,5.02E+07,1.00E+03,0.9,0.04,1.2,0.1,0.750,3.22E-03,1.11274
5.02E+04,5.02E+07,1.00E+03,0.88,0.04,1.2,0.1,0.733,3.15E-03,1.13803
5.02E+04,5.02E+07,1.00E+03,1,0.04,1.2,0.1,0.833,3.58E-03,1.00147
5.02E+04,5.02E+07,1.00E+03,1,0.04,1.2,0.1,0.833,3.58E-03,1.00147
5.10E+04,5.10E+07,1.00E+03,0.95,0.1,1.3,0.1,0.731,3.14E-03,1.16158
5.10E+04,5.10E+07,1.00E+03,1,0.1,1.3,0.1,0.769,3.30E-03,1.10350
5.52E+04,5.52E+07,1.00E+03,1,0.1,1.4,0.1,0.714,3.07E-03,1.28458
5.52E+04,5.52E+07,1.00E+03,0.96,0.1,1.4,0.1,0.686,2.94E-03,1.33811
6.00E+04,6.00E+07,1.00E+03,0.96,0.04,1.3,0.1,0.738,3.17E-03,1.35226
6.00E+04,6.00E+07,1.00E+03,0.94,0.04,1.3,0.1,0.723,3.11E-03,1.38104
6.51E+04,6.51E+07,1.00E+03,0.9,0.04,1.3,0.1,0.692,2.97E-03,1.56394
3.99E+04,3.99E+07,1.00E+03,0.74,0.04,1.3,0.1,0.569,2.44E-03,1.16675
3.99E+04,3.99E+07,1.00E+03,0.68,0.04,1.3,0.1,0.523,2.25E-03,1.26970
3.99E+04,3.99E+07,1.00E+03,0.84,0.04,1.3,0.1,0.646,2.77E-03,1.02785
3.99E+04,3.99E+07,1.00E+03,0.82,0.04,1.3,0.1,0.631,2.71E-03,1.05292
3.50E+04,3.50E+07,1.00E+03,0.6,0.04,1.3,0.1,0.462,1.98E-03,1.26309
3.50E+04,3.50E+07,1.00E+03,0.6,0.04,1.3,0.1,0.462,1.98E-03,1.26309
3.50E+04,3.50E+07,1.00E+03,0.76,0.04,1.3,0.1,0.585,2.51E-03,0.99717
3.50E+04,3.50E+07,1.00E+03,0.68,0.04,1.3,0.1,0.523,2.25E-03,1.11449
2.99E+04,2.99E+07,1.00E+03,0.6,0.04,1.4,0.1,0.429,1.84E-03,1.16153
2.99E+04,2.99E+07,1.00E+03,0.52,0.04,1.4,0.1,0.371,1.60E-03,1.34023
2.99E+04,2.99E+07,1.00E+03,0.6,0.04,1.4,0.1,0.429,1.84E-03,1.16153
2.99E+04,2.99E+07,1.00E+03,0.6,0.04,1.4,0.1,0.429,1.84E-03,1.16153
