Freq CorrFreq FreqError Voltage VError Resistance ResError Current MagneticField gFactor gFactorErr
4.25E+04 4.25E+07 1.00E+03 0.9 0.1 1.5 0.1 0.600 2.58E-03 1.17726   1.5270e-01
4.44E+04 4.44E+07 1.00E+03 0.8 0.1 1.2 0.1 0.667 2.86E-03 1.10757   1.6646e-01
4.44E+04 4.44E+07 1.00E+03 0.82 0.1 1.2 0.1 0.683 2.93E-03 1.08056  1.5966e-01
4.44E+04 4.44E+07 1.00E+03 0.82 0.1 1.2 0.1 0.683 2.93E-03 1.08056  1.5966e-01
4.44E+04 4.44E+07 1.00E+03 0.8 0.1 1.2 0.1 0.667 2.86E-03 1.10757   1.6646e-01
4.50E+04 4.50E+07 1.00E+03 0.96 0.04 1.2 0.1 0.800 3.44E-03 0.93564 8.7189e-02
4.50E+04 4.50E+07 1.00E+03 0.92 0.04 1.2 0.1 0.767 3.29E-03 0.97632 9.1784e-02
4.50E+04 4.50E+07 1.00E+03 0.8 0.04 1.2 0.1 0.667 2.86E-03 1.12277  1.0913e-01
4.50E+04 4.50E+07 1.00E+03 0.76 0.04 1.2 0.1 0.633 2.72E-03 1.18186 1.1651e-01
4.59E+04 4.59E+07 1.00E+03 0.96 0.04 1.4 0.1 0.686 2.94E-03 1.11381 9.2088e-02
4.59E+04 4.59E+07 1.00E+03 0.94 0.04 1.4 0.1 0.671 2.88E-03 1.13750 9.4559e-02
4.59E+04 4.59E+07 1.00E+03 0.8 0.04 1.4 0.1 0.571 2.45E-03 1.33657  1.1651e-01
4.59E+04 4.59E+07 1.00E+03 0.84 0.04 1.4 0.1 0.600 2.58E-03 1.27292 1.0926e-01
4.71E+04 4.71E+07 1.00E+03 0.96 0.04 1.3 0.1 0.738 3.17E-03 1.06214 9.2828e-02
4.71E+04 4.71E+07 1.00E+03 1 0.04 1.3 0.1 0.769 3.30E-03 1.01965    8.8319e-02
4.71E+04 4.71E+07 1.00E+03 0.82 0.04 1.3 0.1 0.631 2.71E-03 1.24348 1.1315e-01
4.71E+04 4.71E+07 1.00E+03 0.84 0.04 1.3 0.1 0.646 2.77E-03 1.21387 1.0971e-01
4.80E+04 4.80E+07 1.00E+03 0.84 0.04 1.3 0.1 0.646 2.77E-03 1.23694 1.1181e-01
