PVal PErr
1.600690e-33 6.472640e-36
1.800870e-33 1.050016e-35
1.670980e-33 9.776480e-36
1.594419e-33 6.929493e-36
1.636160e-33 7.232000e-36
1.614592e-33 7.806400e-36
1.581056e-33 1.213584e-35
1.577092e-33 9.032213e-36
1.576210e-33 9.047360e-36
1.581982e-33 9.665440e-36
1.480732e-33 7.951216e-36
1.362060e-33 8.809472e-36
1.331499e-33 9.595499e-36
1.301888e-33 1.197272e-35
1.218511e-33 7.967360e-36
1.562810e-33 8.992000e-36
1.512192e-33 9.623040e-36
1.271666e-33 8.229792e-36
1.187120e-33 1.018765e-35
1.531954e-33 1.721264e-35
1.157982e-33 1.180645e-35
1.588258e-33 9.738133e-36
1.519049e-33 8.392533e-36
1.374645e-33 1.177218e-35
1.494130e-33 1.060162e-35
