Name,Color,EstFreq,StopPotVal,StopPotErr
noFilter,white,537,1089,22.6
red25,red,690.8,388,28.5
red23A,red,623.5,525,29.4
bloodOrange22,red-yellow,596,516,21.8
orange16,red-yellow,600,613,22.6
marigold2A15,red-yellow,595,588,24.6
yellow2A12,yellow,579,620,39.3
yellow8,yellow,578,616,29.3
canaryYellow3,yellow,577,622,29.4
yellow4,yellow,579,623,31.3
green58,green,546.1,584,27.3
teal65A,blue-green,491.6,695,33.6
colbalt48,blue-green,463.7,884,38.8
darkBlueGB390HTheta,blue,435.9,1100,51.5
darkBlue47B,blue-violet,422,914,35.4
circleOliveM5H,green-yellow,562,714,30.0
slate1010,gray,537,780,33.6
blueGray160,blue,435.9,970,35.4
black754,violet,404.7,1000,47.2
