V I VErr IErr
-61 -0.0073 1.0 0.0001
-101 -0.0061 1.0 0.0001
-131 -0.0058 1.0 0.0001
-173 -0.005 1.0 0.0001
-205 -0.0044 1.0 0.0001
-239 -0.0029 1.0 0.0001
-250 -0.0029 1.0 0.0001
-288 -0.0023 1.0 0.0001
-327 -0.0019 1.0 0.0001
-352 -0.0015 1.0 0.0001
-398 -0.0012 1.0 0.0001
-447 -0.0009 1.0 0.0001
-510 -0.00065 1.0 0.0001
-547 -0.00053 1.0 0.0001
-611 -0.00037 1.0 0.0001
-658 -0.00028 1.0 0.0001
-719 -0.00021 1.0 0.0001
-799 -0.00013 1.0 0.0001
-852 -0.00007 1.0 0.0001
-897 -0.00003 1.0 0.0001
-913 -0.00005 1.0 0.0001
-963 -0.00002 1.0 0.0001
-1007 0 1.0 0.0001
-1047 0.00002 1.0 0.0001
