V I VErr IErr
-40 -0.233 1.0 0.001
-86 -0.204 1.0 0.001
-111 -0.189 1.0 0.001
-147 -0.164 1.0 0.001
-211 -0.128 1.0 0.001
-256 -0.104 1.0 0.001
-306 -0.078 1.0 0.001
-357 -0.057 1.0 0.001
-424 -0.035 1.0 0.001
-489 -0.022 1.0 0.001
-527 -0.0148 1.0 0.001
-563 -0.0111 1.0 0.001
-597 -0.0085 1.0 0.001
-620 -0.0071 1.0 0.001
-632 -0.0065 1.0 0.001
-646 -0.0059 1.0 0.001
-678 -0.0045 1.0 0.001
-701 -0.0037 1.0 0.001
-726 -0.003 1.0 0.001
-740 -0.0028 1.0 0.001
-774 -0.0019 1.0 0.001
-844 -0.00084 1.0 0.001
-894 -0.00034 1.0 0.001
-902 -0.00026 1.0 0.001
-922 -0.00015 1.0 0.001
-961 0.00001 1.0 0.001
