V I VErr AErr
-75 -3.38 1.0 0.1
-89 -3.3 1.0 0.1
-97 -3.29 1.0 0.1
-106 -3.24 1.0 0.1
-117 -3.19 1.0 0.1
-132 -3.11 1.0 0.1
-145 -3.04 1.0 0.1
-157 -3 1.0 0.1
-183 -2.87 1.0 0.1
-195 -2.81 1.0 0.1
-201 -2.78 1.0 0.1
-227 -2.67 1.0 0.1
-290 -2.32 1.0 0.1
-313 -2.28 1.0 0.1
-359 -2.09 1.0 0.1
-378 -2 1.0 0.1
-424 -1.82 1.0 0.1
-496 -1.55 1.0 0.1
-534 -1.37 1.0 0.1
-576 -1.23 1.0 0.1
-621 -1.09 1.0 0.1
-656 -0.98 1.0 0.1
-693 -0.86 1.0 0.1
-726 -0.78 1.0 0.1
-757 -0.68 1.0 0.1
-809 -0.547 1.0 0.1
-842 -0.476 1.0 0.1
-864 -0.434 1.0 0.1
-900 -0.363 1.0 0.1
-936 -0.3 1.0 0.1
-977 -0.234 1.0 0.1
-1035 -0.168 1.0 0.1
-1053 -0.147 1.0 0.1
-1088 -0.116 1.0 0.1
-1127 -0.084 1.0 0.1
-1203 -0.0338 1.0 0.1
-1235 -0.0168 1.0 0.1
-1243 -0.0126 1.0 0.1
-1266 -0.002 1.0 0.1
-1270 0.0002 1.0 0.1
-1264 -0.003 1.0 0.1
