V I VErr IErr
-31 -0.062 1.0 0.001
-59 -0.058 1.0 0.001
-96 -0.052 1.0 0.001
-133 -0.0456 1.0 0.001
-163 -0.041 1.0 0.001
-177 -0.039 1.0 0.001
-204 -0.0343 1.0 0.001
-230 -0.0308 1.0 0.001
-256 -0.0273 1.0 0.001
-282 -0.024 1.0 0.001
-330 -0.0185 1.0 0.001
-374 -0.0144 1.0 0.001
-397 -0.0124 1.0 0.001
-435 -0.0098 1.0 0.001
-479 -0.0072 1.0 0.001
-515 -0.0056 1.0 0.001
-547 -0.0046 1.0 0.001
-591 -0.0035 1.0 0.001
-628 -0.0028 1.0 0.001
-664 -0.00225 1.0 0.001
-707 -0.00178 1.0 0.001
-751 -0.00139 1.0 0.001
-800 -0.001 1.0 0.001
-821 -0.00085 1.0 0.001
-840 -0.00076 1.0 0.001
-861 -0.00062 1.0 0.001
-887 -0.00054 1.0 0.001
-912 -0.00043 1.0 0.001
-949 -0.0003 1.0 0.001
-991 -0.00019 1.0 0.001
-1009 -0.00014 1.0 0.001
-1031 -0.000009 1.0 0.001
-1049 -0.00003 1.0 0.001
