V I VErr IErr
-31 -0.26 1.0 0.001
-41 -0.252 1.0 0.001
-65 -0.237 1.0 0.001
-98 -0.215 1.0 0.001
-115 -0.204 1.0 0.001
-133 -0.193 1.0 0.001
-200 -0.151 1.0 0.001
-257 -0.119 1.0 0.001
-293 -0.099 1.0 0.001
-313 -0.089 1.0 0.001
-351 -0.071 1.0 0.001
-370 -0.063 1.0 0.001
-417 -0.046 1.0 0.001
-468 -0.031 1.0 0.001
-512 -0.0218 1.0 0.001
-541 -0.0169 1.0 0.001
-599 -0.0104 1.0 0.001
-625 -0.0084 1.0 0.001
-680 -0.0053 1.0 0.001
-732 -0.0035 1.0 0.001
-803 -0.0018 1.0 0.001
-833 -0.0012 1.0 0.001
-873 -0.0007 1.0 0.001
-911 -0.0003 1.0 0.001
-950 0.00001 1.0 0.001
