Set,Run #1,Run #1,Run #1
Angle deg (units),Date and Time,Time (s),Relative Intensity (%)
110,03/26/2019 04:02:45 pm,566.300,-9.86
112,03/26/2019 04:02:36 pm,557.300,-9.40
114,03/26/2019 04:02:12 pm,533.900,-9.02
116,03/26/2019 04:01:58 pm,519.550,-8.78
118,03/26/2019 04:01:30 pm,491.650,-9.17
120,03/26/2019 03:55:46 pm,147.300,-8.65
122,03/26/2019 03:56:07 pm,168.800,-9.23
124,03/26/2019 03:56:24 pm,185.850,-0.19
126,03/26/2019 03:56:35 pm,196.250,-9.04
128,03/26/2019 03:57:16 pm,237.650,-10.13
130,03/26/2019 03:57:46 pm,267.500,-10.07
132,03/26/2019 03:58:08 pm,289.350,-10.25
134,03/26/2019 03:58:22 pm,303.550,-10.33
136,03/26/2019 03:58:56 pm,337.700,-10.15
138,03/26/2019 03:59:07 pm,348.350,-10.22
140,03/26/2019 03:59:20 pm,361.550,-10.33
142,03/26/2019 03:59:31 pm,372.350,-10.28
144,03/26/2019 03:59:45 pm,386.400,-10.02
146,03/26/2019 03:59:58 pm,399.000,-10.01
148,,,
