Angle deg (units),Date and Time,Time (s),Relative Intensity (%)
110,03/28/2019 04:42:14 pm,516.300,-2.37
111,03/28/2019 04:34:32 pm,54.850,-2.82
112,03/28/2019 04:46:12 pm,754.750,-2.46
113,03/28/2019 04:46:31 pm,773.950,-2.43
114,03/28/2019 04:35:44 pm,126.150,-2.11
115,03/28/2019 04:36:02 pm,144.800,-2.37
116,03/28/2019 04:36:45 pm,187.150,-2.20
117,03/28/2019 04:37:06 pm,208.350,-2.29
118,03/28/2019 04:37:34 pm,236.000,-2.63
119,03/28/2019 04:37:50 pm,252.000,-2.32
120,03/28/2019 04:38:10 pm,272.850,-2.21
121,03/28/2019 04:38:39 pm,301.350,-2.09
122,03/28/2019 04:39:01 pm,323.600,-2.03
123,03/28/2019 04:39:18 pm,340.600,-0.71
124,03/28/2019 04:39:48 pm,370.200,-0.31
125,03/28/2019 04:40:19 pm,401.450,-1.63
