Angle (units),Date and Time,Time (s),Relative Intensity (%)
110,04/04/2019 04:15:57 pm,47.300,-1.15
111,04/04/2019 04:16:31 pm,81.800,-1.46
112,04/04/2019 04:17:54 pm,164.100,-1.25
113,04/04/2019 04:18:21 pm,191.300,-1.09
114,04/04/2019 04:19:24 pm,254.950,-2.48
115,04/04/2019 04:19:49 pm,279.300,-1.12
116,04/04/2019 04:20:15 pm,305.000,-1.06
117,04/04/2019 04:20:41 pm,331.400,-2.10
118,04/04/2019 04:21:03 pm,353.600,-1.03
119,04/04/2019 04:21:24 pm,374.300,0.38
120,04/04/2019 04:21:44 pm,394.600,0.37
121,04/04/2019 04:22:04 pm,414.250,0.65
122,04/04/2019 04:22:28 pm,438.650,4.39
123,04/04/2019 04:23:31 pm,501.200,14.40
124,04/04/2019 04:23:53 pm,523.900,9.03
