Set,Run #1,Run #1,Run #1
Angle (units),Date and Time,Time (s),Relative Intensity (%)
110,04/04/2019 04:32:09 pm,4.350,-1.05
111,04/04/2019 04:33:08 pm,63.350,-0.95
112,04/04/2019 04:33:35 pm,90.800,-0.82
113,04/04/2019 04:33:55 pm,110.600,-0.72
114,04/04/2019 04:34:26 pm,141.950,-1.06
115,04/04/2019 04:34:58 pm,173.750,-1.50
116,04/04/2019 04:35:26 pm,201.150,-1.74
117,04/04/2019 04:35:46 pm,221.850,-0.67
118,04/04/2019 04:36:13 pm,248.350,0.00
119,04/04/2019 04:36:30 pm,265.500,-0.68
120,04/04/2019 04:36:56 pm,291.850,-0.45
121,04/04/2019 04:37:33 pm,328.250,2.40
122,04/04/2019 04:37:58 pm,353.350,4.54
123,04/04/2019 04:38:23 pm,378.150,16.51
124,04/04/2019 04:38:57 pm,412.850,18.18
125,04/04/2019 04:39:10 pm,425.550,0.00
,04/04/2019 04:39:14 pm,429.950,5.24
