wlVal wlErr Intensity CalcInts
3.44e+02 2.89e-03 -1.05 -4.718241
3.54e+02 4.08e-03 -0.95 -4.207275
3.65e+02 5.81e-03 -0.82 -3.722567
3.77e+02 8.36e-03 -0.72 -3.270759
3.91e+02 1.22e-02 -1.06 -2.826877
4.08e+02 1.82e-02 -1.50 -2.384368
4.28e+02 2.79e-02 -1.74 -1.968969
4.52e+02 4.42e-02 -0.67 -1.582924
4.81e+02 7.35e-02 0.00 -1.234337
5.19e+02 1.30e-01 -0.68 -9.106353e-1
5.68e+02 2.53e-01 -0.45 -6.347761e-1
6.38e+02 5.63e-01 2.40 -3.987780e-1
7.44e+02 1.58e+00 4.54 -2.156365e-1
9.39e+02 7.08e+00 16.51 -8.498681e-2
1.50e+03 1.29e+02 18.18 -1.305115e-2
