r xn
1.000000 0.000002
1.100000 0.090909
1.200000 0.166667
1.300000 0.230769
1.400000 0.285714
1.500000 0.333333
1.600000 0.375000
1.700000 0.411765
1.800000 0.444444
1.900000 0.473684
2.000000 0.500000
2.100000 0.523810
2.200000 0.545455
2.300000 0.565217
2.400000 0.583333
2.500000 0.600000
2.600000 0.615385
2.700000 0.629630
2.800000 0.642857
2.900000 0.655172
3.000000 0.666992
3.100000 0.764567
3.200000 0.799455
3.300000 0.823603
3.400000 0.451963
3.500000 0.382820
3.600000 0.599546
3.700000 0.569442
3.800000 0.614753
3.900000 0.677625
4.000000 0.960050
